user_id,google_product_id,google_purchase_token,google_is_subscription
u_76fb3a7fc3c7,com.example.app.sub.yearly,pe5XGdl-aha2ceTBPr7EasWWECde76vjZoNgs4-jy-Q,1
u_27382de15191,com.example.app.sub.yearly,LBBV_oECZ52c9gEN1XDDAW_uj7HesKDBzB96HsFIv5s,1
u_f7a260b10b50,com.example.app.sub.monthly,coepepOMidisFiD6NzyfQByQK0z9CgcnEknJr1ke_Qs,1
u_e1661adbe78b,com.example.app.sub.yearly,Kk8gJZmPGotH1G64Vkcr9i7h_WBmX5wI4v662tP9-Xw,1
u_24a19729a421,com.example.app.premium.yearly,mFB-AkJXJD3D18YjTbR58D6l2F7JrgI4Bss1X7FhnZg,1
u_c7ebd50b46db,com.example.app.sub.yearly,nyLlwOKG577Pd3uIy57mOeUqwGyCilVPvW1fhlqWKps,1
u_c4a6b2a06a89,com.example.app.premium.yearly,hsP-qzswQ59RIMvVOaIV2DNCye25Pow6U0Gml0muedY,1
u_3fe9d3a9f8c2,com.example.app.premium.monthly,mDokPvsxsXjvexNXKChZaq_Hkv63QHBn_Vl5Zf55SrE,1
u_e3c9dbf0e412,com.example.app.sub.monthly,7uGQgg8SXhBtNKC_V8Uy76ASAcfLmJc6RFiWb6R5YMs,1
u_7ec2c5c10098,com.example.app.sub.yearly,x8Ui-9HDKPacyGyHV5ToFVHiYuX80IFDiaARwtZyVv8,1
